cycle,var1,var2,var1_desc,var2_desc,category1,category2,cross_category,transform1,transform2,correlation,n_samples,dataset1,dataset2,score
2015-2016,ALQ101,ALQ120U,Had at least 12 alcohol drinks/1 yr?,"# days drink alcohol per wk, mo, yr",alcohol,alcohol,False,original,original,,,ALQ_I,ALQ_I,0
2015-2016,ALQ101,ALQ141Q,Had at least 12 alcohol drinks/1 yr?,# days have 4/5 drinks - past 12 mos,alcohol,alcohol,False,original,original,,,ALQ_I,ALQ_I,0
2015-2016,ALQ101,ALQ141U,Had at least 12 alcohol drinks/1 yr?,"# days per week, month, year?",alcohol,alcohol,False,original,original,,,ALQ_I,ALQ_I,0
2015-2016,ALQ110,ALQ120Q,Had at least 12 alcohol drinks/lifetime?,How often drink alcohol over past 12 mos,alcohol,alcohol,False,original,original,,,ALQ_I,ALQ_I,0
2015-2016,ALQ110,ALQ120U,Had at least 12 alcohol drinks/lifetime?,"# days drink alcohol per wk, mo, yr",alcohol,alcohol,False,original,original,,,ALQ_I,ALQ_I,0
2015-2016,ALQ110,ALQ141Q,Had at least 12 alcohol drinks/lifetime?,# days have 4/5 drinks - past 12 mos,alcohol,alcohol,False,original,original,,,ALQ_I,ALQ_I,0
2015-2016,ALQ110,ALQ141U,Had at least 12 alcohol drinks/lifetime?,"# days per week, month, year?",alcohol,alcohol,False,original,original,,,ALQ_I,ALQ_I,0
2015-2016,ALQ120Q,ALQ130,How often drink alcohol over past 12 mos,Avg # alcoholic drinks/day - past 12 mos,alcohol,alcohol,False,original,original,,,ALQ_I,ALQ_I,0
2015-2016,ALQ120Q,ALQ151,How often drink alcohol over past 12 mos,Ever have 4/5 or more drinks every day?,alcohol,alcohol,False,original,original,,,ALQ_I,ALQ_I,0
2015-2016,ALQ120Q,ALQ160,How often drink alcohol over past 12 mos,# days have 4/5 or more drinks in 2 hrs,alcohol,alcohol,False,original,original,,,ALQ_I,ALQ_I,0
2015-2016,URXUMA,LBDACRLC,"Albumin, urine (ug/mL)",Acrylamide comment code,laboratory,laboratory,False,original,original,,,ALB_CR_I,AMDGYD_I,0
2015-2016,URXUMA,LBDGLYLC,"Albumin, urine (ug/mL)",Glycidamide comment code,laboratory,laboratory,False,original,original,,,ALB_CR_I,AMDGYD_I,0
2015-2016,URXUMA,LBXACR,"Albumin, urine (ug/mL)",Acrylamide (pmol/g Hb),laboratory,laboratory,False,original,original,,,ALB_CR_I,AMDGYD_I,0
2015-2016,URXUMA,LBXGLY,"Albumin, urine (ug/mL)",Glycideamide (pmol/g Hb),laboratory,laboratory,False,original,original,,,ALB_CR_I,AMDGYD_I,0
2015-2016,URXUMA,LBDAPBSI,"Albumin, urine (ug/mL)",Apolipoprotein (B) (g/L),laboratory,laboratory,False,original,original,,,ALB_CR_I,APOB_I,0
2015-2016,URXUMA,LBXAPB,"Albumin, urine (ug/mL)",Apolipoprotein (B) (mg/dL),laboratory,laboratory,False,original,original,,,ALB_CR_I,APOB_I,0
2015-2016,URXUMA,LBCBB1,"Albumin, urine (ug/mL)","2,2',4,4',5,5'-hexabromobiphenyl (pg/g)",laboratory,laboratory,False,original,original,,,ALB_CR_I,BFRPOL_I,0
2015-2016,URXUMS,LBDACRLC,"Albumin, urine (mg/L)",Acrylamide comment code,laboratory,laboratory,False,original,original,,,ALB_CR_I,AMDGYD_I,0
2015-2016,URXUMS,LBDGLYLC,"Albumin, urine (mg/L)",Glycidamide comment code,laboratory,laboratory,False,original,original,,,ALB_CR_I,AMDGYD_I,0
2015-2016,URXUMS,LBXACR,"Albumin, urine (mg/L)",Acrylamide (pmol/g Hb),laboratory,laboratory,False,original,original,,,ALB_CR_I,AMDGYD_I,0
2015-2016,URXUMS,LBXGLY,"Albumin, urine (mg/L)",Glycideamide (pmol/g Hb),laboratory,laboratory,False,original,original,,,ALB_CR_I,AMDGYD_I,0
2015-2016,URXUMS,LBDAPBSI,"Albumin, urine (mg/L)",Apolipoprotein (B) (g/L),laboratory,laboratory,False,original,original,,,ALB_CR_I,APOB_I,0
2015-2016,URXUMS,LBXAPB,"Albumin, urine (mg/L)",Apolipoprotein (B) (mg/dL),laboratory,laboratory,False,original,original,,,ALB_CR_I,APOB_I,0
2015-2016,URXUMS,LBCBB1,"Albumin, urine (mg/L)","2,2',4,4',5,5'-hexabromobiphenyl (pg/g)",laboratory,laboratory,False,original,original,,,ALB_CR_I,BFRPOL_I,0
2015-2016,LBDACRLC,LBXACR,Acrylamide comment code,Acrylamide (pmol/g Hb),laboratory,laboratory,False,original,original,,,AMDGYD_I,AMDGYD_I,0
2015-2016,LBDACRLC,LBXGLY,Acrylamide comment code,Glycideamide (pmol/g Hb),laboratory,laboratory,False,original,original,,,AMDGYD_I,AMDGYD_I,0
2015-2016,LBDACRLC,LBXAPB,Acrylamide comment code,Apolipoprotein (B) (mg/dL),laboratory,laboratory,False,original,original,,,AMDGYD_I,APOB_I,0
2015-2016,LBDACRLC,LBCBB1,Acrylamide comment code,"2,2',4,4',5,5'-hexabromobiphenyl (pg/g)",laboratory,laboratory,False,original,original,,,AMDGYD_I,BFRPOL_I,0
2015-2016,LBDGLYLC,LBXACR,Glycidamide comment code,Acrylamide (pmol/g Hb),laboratory,laboratory,False,original,original,,,AMDGYD_I,AMDGYD_I,0
2015-2016,LBDGLYLC,LBXGLY,Glycidamide comment code,Glycideamide (pmol/g Hb),laboratory,laboratory,False,original,original,,,AMDGYD_I,AMDGYD_I,0
2015-2016,LBDGLYLC,LBXAPB,Glycidamide comment code,Apolipoprotein (B) (mg/dL),laboratory,laboratory,False,original,original,,,AMDGYD_I,APOB_I,0
2015-2016,LBDGLYLC,LBCBB1,Glycidamide comment code,"2,2',4,4',5,5'-hexabromobiphenyl (pg/g)",laboratory,laboratory,False,original,original,,,AMDGYD_I,BFRPOL_I,0
2015-2016,LBXACR,LBDAPBSI,Acrylamide (pmol/g Hb),Apolipoprotein (B) (g/L),laboratory,laboratory,False,original,original,,,AMDGYD_I,APOB_I,0
2015-2016,LBXACR,LBCBB1,Acrylamide (pmol/g Hb),"2,2',4,4',5,5'-hexabromobiphenyl (pg/g)",laboratory,laboratory,False,original,original,,,AMDGYD_I,BFRPOL_I,0
2015-2016,LBXGLY,LBDAPBSI,Glycideamide (pmol/g Hb),Apolipoprotein (B) (g/L),laboratory,laboratory,False,original,original,,,AMDGYD_I,APOB_I,0
2015-2016,LBXGLY,LBCBB1,Glycideamide (pmol/g Hb),"2,2',4,4',5,5'-hexabromobiphenyl (pg/g)",laboratory,laboratory,False,original,original,,,AMDGYD_I,BFRPOL_I,0
2015-2016,LBDAPBSI,LBXAPB,Apolipoprotein (B) (g/L),Apolipoprotein (B) (mg/dL),laboratory,laboratory,False,original,original,,,APOB_I,APOB_I,0
2015-2016,LBDAPBSI,LBCBB1,Apolipoprotein (B) (g/L),"2,2',4,4',5,5'-hexabromobiphenyl (pg/g)",laboratory,laboratory,False,original,original,,,APOB_I,BFRPOL_I,0
2015-2016,LBXAPB,LBCBB1,Apolipoprotein (B) (mg/dL),"2,2',4,4',5,5'-hexabromobiphenyl (pg/g)",laboratory,laboratory,False,original,original,,,APOB_I,BFRPOL_I,0
2013-2014,URX1NP,LBD10ALC,"1-Aminonaphthalene, urine (pg/mL)",Decanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX1NP,LBD3ALC,"1-Aminonaphthalene, urine (pg/mL)",Propanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX1NP,LBD4ALC,"1-Aminonaphthalene, urine (pg/mL)",Butyraldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX1NP,LBD5ALC,"1-Aminonaphthalene, urine (pg/mL)",Pentanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX1NP,LBD6ALC,"1-Aminonaphthalene, urine (pg/mL)",Hexanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX1NP,LBD7ALC,"1-Aminonaphthalene, urine (pg/mL)",Heptanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX1NP,LBD8ALC,"1-Aminonaphthalene, urine (pg/mL)",Octanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX1NP,LBD9ALC,"1-Aminonaphthalene, urine (pg/mL)",Nonanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX1NP,LBDBZLC,"1-Aminonaphthalene, urine (pg/mL)",Benzaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX1NP,LBDCRLC,"1-Aminonaphthalene, urine (pg/mL)",Crotonaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX2NP,LBD10ALC,"2-Aminonaphthalene, urine (pg/mL)",Decanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX2NP,LBD3ALC,"2-Aminonaphthalene, urine (pg/mL)",Propanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX2NP,LBD4ALC,"2-Aminonaphthalene, urine (pg/mL)",Butyraldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX2NP,LBD5ALC,"2-Aminonaphthalene, urine (pg/mL)",Pentanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX2NP,LBD6ALC,"2-Aminonaphthalene, urine (pg/mL)",Hexanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX2NP,LBD7ALC,"2-Aminonaphthalene, urine (pg/mL)",Heptanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX2NP,LBD8ALC,"2-Aminonaphthalene, urine (pg/mL)",Octanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX2NP,LBD9ALC,"2-Aminonaphthalene, urine (pg/mL)",Nonanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX2NP,LBDBZLC,"2-Aminonaphthalene, urine (pg/mL)",Benzaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX2NP,LBDCRLC,"2-Aminonaphthalene, urine (pg/mL)",Crotonaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX4BP,LBD10ALC,"4-Aminobiphenyl, urine (pg/mL)",Decanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX4BP,LBD3ALC,"4-Aminobiphenyl, urine (pg/mL)",Propanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX4BP,LBD4ALC,"4-Aminobiphenyl, urine (pg/mL)",Butyraldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX4BP,LBD5ALC,"4-Aminobiphenyl, urine (pg/mL)",Pentanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX4BP,LBD6ALC,"4-Aminobiphenyl, urine (pg/mL)",Hexanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX4BP,LBD7ALC,"4-Aminobiphenyl, urine (pg/mL)",Heptanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX4BP,LBD8ALC,"4-Aminobiphenyl, urine (pg/mL)",Octanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX4BP,LBD9ALC,"4-Aminobiphenyl, urine (pg/mL)",Nonanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX4BP,LBDBZLC,"4-Aminobiphenyl, urine (pg/mL)",Benzaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URX4BP,LBDCRLC,"4-Aminobiphenyl, urine (pg/mL)",Crotonaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXANS,LBD10ALC,"o-Anisidine, urine (pg/mL)",Decanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXANS,LBD3ALC,"o-Anisidine, urine (pg/mL)",Propanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXANS,LBD4ALC,"o-Anisidine, urine (pg/mL)",Butyraldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXANS,LBD5ALC,"o-Anisidine, urine (pg/mL)",Pentanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXANS,LBD6ALC,"o-Anisidine, urine (pg/mL)",Hexanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXANS,LBD7ALC,"o-Anisidine, urine (pg/mL)",Heptanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXANS,LBD8ALC,"o-Anisidine, urine (pg/mL)",Octanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXANS,LBD9ALC,"o-Anisidine, urine (pg/mL)",Nonanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXANS,LBDBZLC,"o-Anisidine, urine (pg/mL)",Benzaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXANS,LBDCRLC,"o-Anisidine, urine (pg/mL)",Crotonaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXDMN,LBD10ALC,"2,6-Dimethylaniline, urine (pg/mL)",Decanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXDMN,LBD3ALC,"2,6-Dimethylaniline, urine (pg/mL)",Propanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXDMN,LBD4ALC,"2,6-Dimethylaniline, urine (pg/mL)",Butyraldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXDMN,LBD5ALC,"2,6-Dimethylaniline, urine (pg/mL)",Pentanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXDMN,LBD6ALC,"2,6-Dimethylaniline, urine (pg/mL)",Hexanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXDMN,LBD7ALC,"2,6-Dimethylaniline, urine (pg/mL)",Heptanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXDMN,LBD8ALC,"2,6-Dimethylaniline, urine (pg/mL)",Octanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXDMN,LBD9ALC,"2,6-Dimethylaniline, urine (pg/mL)",Nonanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXDMN,LBDBZLC,"2,6-Dimethylaniline, urine (pg/mL)",Benzaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXDMN,LBDCRLC,"2,6-Dimethylaniline, urine (pg/mL)",Crotonaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXOTD,LBD10ALC,"o-Toluidine, urine (pg/mL)",Decanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXOTD,LBD3ALC,"o-Toluidine, urine (pg/mL)",Propanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXOTD,LBD4ALC,"o-Toluidine, urine (pg/mL)",Butyraldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXOTD,LBD5ALC,"o-Toluidine, urine (pg/mL)",Pentanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXOTD,LBD6ALC,"o-Toluidine, urine (pg/mL)",Hexanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXOTD,LBD7ALC,"o-Toluidine, urine (pg/mL)",Heptanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXOTD,LBD8ALC,"o-Toluidine, urine (pg/mL)",Octanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXOTD,LBD9ALC,"o-Toluidine, urine (pg/mL)",Nonanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXOTD,LBDBZLC,"o-Toluidine, urine (pg/mL)",Benzaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXOTD,LBDCRLC,"o-Toluidine, urine (pg/mL)",Crotonaldehyde Comment Code,laboratory,laboratory,False,original,original,,,AAS_H,ALDS_H,0
2013-2014,URXCRS,LBD10ALC,"Creatinine, urine (umol/L)",Decanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALB_CR_H,ALDS_H,0
2013-2014,URXCRS,LBD3ALC,"Creatinine, urine (umol/L)",Propanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALB_CR_H,ALDS_H,0
2013-2014,URXUMS,LBD6ALC,"Albumin, urine (mg/L)",Hexanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALB_CR_H,ALDS_H,0
2013-2014,URXUMS,LBD7ALC,"Albumin, urine (mg/L)",Heptanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALB_CR_H,ALDS_H,0
2013-2014,URXUMS,LBD8ALC,"Albumin, urine (mg/L)",Octanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALB_CR_H,ALDS_H,0
2013-2014,URXUMS,LBD9ALC,"Albumin, urine (mg/L)",Nonanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALB_CR_H,ALDS_H,0
2013-2014,URXUMS,LBDBZLC,"Albumin, urine (mg/L)",Benzaldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALB_CR_H,ALDS_H,0
2013-2014,URXUMS,LBDCRLC,"Albumin, urine (mg/L)",Crotonaldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALB_CR_H,ALDS_H,0
2013-2014,LBD10ALC,LBD3ALC,Decanaldehyde Comment Code,Propanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALDS_H,ALDS_H,0
2013-2014,LBD10ALC,LBD4ALC,Decanaldehyde Comment Code,Butyraldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALDS_H,ALDS_H,0
2013-2014,LBD10ALC,LBD5ALC,Decanaldehyde Comment Code,Pentanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALDS_H,ALDS_H,0
2013-2014,LBD10ALC,LBD6ALC,Decanaldehyde Comment Code,Hexanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALDS_H,ALDS_H,0
2013-2014,LBD10ALC,LBD7ALC,Decanaldehyde Comment Code,Heptanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALDS_H,ALDS_H,0
2013-2014,LBD10ALC,LBD8ALC,Decanaldehyde Comment Code,Octanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALDS_H,ALDS_H,0
2013-2014,LBD10ALC,LBD9ALC,Decanaldehyde Comment Code,Nonanaldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALDS_H,ALDS_H,0
2013-2014,LBD10ALC,LBDBZLC,Decanaldehyde Comment Code,Benzaldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALDS_H,ALDS_H,0
2013-2014,LBD10ALC,LBDCRLC,Decanaldehyde Comment Code,Crotonaldehyde Comment Code,laboratory,laboratory,False,original,original,,,ALDS_H,ALDS_H,0
